experiment,model,dataset,task_type,example_id,context_length,length_bucket,gold_answers,prediction,metric,score
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,c0fe2309ca55ac01442fa28387a766461a40e92ccba36c1f,6262,4k-8k,Paragraph 7,Paragraph 7,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,763cf6ac464e16d4f5d61b69b685a6771fef3cfbe5fc326d,8723,8k+,Paragraph 14,Paragraph 14,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,6db5d771ecd6ffbbc157fb27596a8e1ebda3cf41dde1173b,3599,0-4k,Paragraph 9,Paragraph 9,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,d1a3433f92c83bfdb6f55cc101113b8e1a616035fc72ccf3,3405,0-4k,Paragraph 9,Paragraph 9,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,3a40d35c65b9ce79803469088ac7204019af121390116684,2524,0-4k,Paragraph 7,Paragraph 7,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,e43207ead78dff438a2c02a45fe0036e58262d649ad77cd9,8300,8k+,Paragraph 2,Paragraph 2,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,b0d37699c35b7f083e4f2dcbb275dc758d6126eae72f5a08,4354,4k-8k,Paragraph 7,,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,f05b3f579a3853667208609ceace8f84b34f39c90d29f662,6576,4k-8k,Paragraph 14,Paragraph 14,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,0eafb6689a5f8285604cf0da2cb84bfba1be73a552c744a4,3590,0-4k,Paragraph 1,Paragraph 1,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,971ed5f97fe768247f47d72cec70b9a3b99e83ade7d24375,10544,8k+,Paragraph 28,Paragraph 28,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,9366ed74e314180c3b8e8e60911b382761d83c503de3a83a,2718,0-4k,Paragraph 7,Paragraph 7,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,cd102ddc34369064ebc9c83cfc1ae5e62a149db89caf9d42,8625,8k+,Paragraph 18,Paragraph 18,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,2bb1002fdbce02944e4226abeaa9f429bac2497eb0435fb6,4442,4k-8k,Paragraph 15,15,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,62419a34c63e8b5c583352a1aa5e43cc881f7546c5c5f442,8185,8k+,Paragraph 7,Paragraph 7,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,20c4969159193b8834b5a24760c6929c0a8fd2a78534146c,9838,8k+,Paragraph 7,Paragraph 7,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,850f393b81346a9cdb875d1b63b57d07427edda34c5e2165,8524,8k+,Paragraph 13,The query refers to passage 13.,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,9675333523695435bf3b171d7c98beee14b81c5a02c66682,9416,8k+,Paragraph 25,25,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,0fad908bd27911fe79e7d2195b2ae05d784e8b75388478f3,3368,0-4k,Paragraph 10,Paragraph 10,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,b52d3d1c47ff59df9f5cd58c7ac3c1d19d4ad3f5dddbfdd5,4283,4k-8k,Paragraph 4,Paragraph 4,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,5c3c65235a6f6585dd229cf69283c1e2105626aac2d1dd71,7071,4k-8k,Paragraph 11,Paragraph 11,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,10278647adcbb165edfeb5af5aee5b8b212051b7ccfb12cb,9406,8k+,Paragraph 24,24,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,721b6ef6b4641a7517d4228be3a141ddb2e698348da36083,3490,0-4k,Paragraph 1,Paragraph 1,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,ae58b22e9648e7f5daebad76cdb8c58831243ba861b55a65,9183,8k+,Paragraph 7,Paragraph 7,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,11e3256a06c5495dca4e66245e18be3102d9886d52ef27b9,9887,8k+,Paragraph 26,26,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,f4ac42564f5627bcd9cf1493711f23c5a26f173ee3c17fae,6576,4k-8k,Paragraph 12,Paragraph 12,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,b176927e778d209dafcb9bb1e12e323c17eec0a7dd7a01ac,6212,4k-8k,Paragraph 3,Paragraph 3,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,210b006c4913daa66428e245125552a02eb32a741f79523d,8825,8k+,Paragraph 8,Paragraph 8,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,d4f8e84b07568f0867c42dfdfe39c6687b8f338ea96dfc4d,8727,8k+,Paragraph 9,Paragraph 9,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,5ade245338ca8897c7d0951de6823381b6c7f9e0217bbb36,3565,0-4k,Paragraph 4,Paragraph 4,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,fefcad13768b159709cc708cc673812231936f33aaf5da15,3580,0-4k,Paragraph 12,Paragraph 12,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,d96162e71c0c7ca058d966d55d179067363b26ed39d9141f,8409,8k+,Paragraph 4,Paragraph 4,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,cfdc31e732f122a22691783a1de0e98d5ba8b215d74cb420,7033,4k-8k,Paragraph 8,Paragraph 8,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,29285e0cf79a2eb39be64dd871d0ce449699f3fa7723a678,5099,4k-8k,Paragraph 16,Paragraph 16,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,411771705a8c584adfda256f30514ebaf8a587eac6be9623,3022,0-4k,Paragraph 3,Paragraph 3,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,17b9dc10bc31a90c2d5529d5642fccb76de4607c8aededb3,8383,8k+,Paragraph 3,Paragraph 3,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,ff5dfd7c00d60fe9f8f6fc7224f42c8b1cf4d4d3ea008c3c,6315,4k-8k,Paragraph 8,Paragraph 8,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,2867e51cd3925271742d3cdd0af030eb55134485e04a638c,8968,8k+,Paragraph 21,Canada (21),accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,f1799ce8d663da589aab85598cf2c296b7c64b17a992bda8,6111,4k-8k,Paragraph 18,Paragraph 18,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,60d2c6e9463cd84ae115b1012d7d759d810a4686ef6ab22d,6188,4k-8k,Paragraph 10,Paragraph 10,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,760463707ecc7878b6bce579b11979852925136277fecc79,3565,0-4k,Paragraph 2,Paragraph 2,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,c81a493635e9580bf6db7dc4eaf006499efead7cd7eae370,9353,8k+,Paragraph 11,Paragraph 11,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,c529ffc0301329806babf5d6dc7c8ab8eb451d2f4d1411ae,8683,8k+,Paragraph 28,28,accuracy,0.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,7c06aa0e03724cadd034716dd789fef4900e01a3e125bf84,9495,8k+,Paragraph 9,Paragraph 9,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,767e3cb26ec64fc48f521770469e909d47b6fdd515ad6a9a,3543,0-4k,Paragraph 14,Paragraph 14,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,f48de29cd3f95821264d243f271f2e20835d4f7535735cb8,8088,8k+,Paragraph 17,Paragraph 17,accuracy,1.0
longbench_phase1,qwen3-4b,passage_retrieval_en_e,synthetic_retrieval,80f5922b0e4edfbcf94b81ab942f21dc5b3c7fc0b9f9e7a5,7257,4k-8k,Paragraph 8,Paragraph 8,accuracy,1.0
